------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
102         NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 9.414059405940593e+01 -1.516846742191179e+00 -1.508136594965243e-01 -3.692750131084999e+00 -3.012813033768921e+00  3.297539403402664e+00       70
 9.550495049504950e+01 -1.606641016021140e+00 -1.509349243529572e-01 -3.854525247674811e+00 -3.226626974730593e+00  3.228312231261254e+00       71
 9.686930693069306e+01 -1.700280162117213e+00 -1.512528441806819e-01 -4.023692135470747e+00 -3.437313530503482e+00  3.160871625190609e+00       72
 9.823366336633663e+01 -1.798111977420158e+00 -1.517375536262691e-01 -4.199187539380544e+00 -3.645138662235917e+00  3.095117448188983e+00       73
 9.959801980198020e+01 -1.900087583724858e+00 -1.523763548237851e-01 -4.374859148655328e+00 -3.849444230316115e+00  3.031053572098861e+00       74
 1.009623762376238e+02 -2.006262352019107e+00 -1.531575230143721e-01 -4.559526549393428e+00 -4.049848979143289e+00  2.968683763978781e+00       75
 1.023267326732673e+02 -2.117006026179811e+00 -1.540493027496591e-01 -4.749856508623595e+00 -4.246689339871595e+00  2.907914792292515e+00       76
 1.036910891089109e+02 -2.232215363395529e+00 -1.550359139773880e-01 -4.940694112477645e+00 -4.439157977463621e+00  2.848685928691455e+00       77
 1.050554455445544e+02 -2.352015199872950e+00 -1.560979016594009e-01 -5.141614629612669e+00 -4.627042316826555e+00  2.790965273865015e+00       78
 1.064198019801980e+02 -2.476756362813117e+00 -1.572018218876374e-01 -5.347161952531480e+00 -4.810656459289980e+00  2.734671182765742e+00       79
 1.077841584158416e+02 -2.606304411535340e+00 -1.583193287369869e-01 -5.554597590698439e+00 -4.989080199485304e+00  2.679631618397525e+00       80
 1.091485148514851e+02 -2.740880022946229e+00 -1.594264956354002e-01 -5.772655022926778e+00 -5.162396103430349e+00  2.625821545338167e+00       81
 1.105128712871287e+02 -2.880762360718635e+00 -1.604838656490551e-01 -5.993749568593281e+00 -5.330694050233554e+00  2.573129203178407e+00       82
 1.118772277227723e+02 -3.025812138143949e+00 -1.614410133143474e-01 -6.219355086471263e+00 -5.492895281591541e+00  2.521231267589941e+00       83
 1.132415841584158e+02 -3.176377970786525e+00 -1.622716673881004e-01 -6.455654365950035e+00 -5.649694801903570e+00  2.470201443271970e+00       84
 1.146059405940594e+02 -3.332612726423708e+00 -1.629230741091098e-01 -6.693093940550413e+00 -5.800361258395681e+00  2.419774335014826e+00       85
 1.159702970297029e+02 -3.494412255435421e+00 -1.633174814982308e-01 -6.938071033242904e+00 -5.943395512317892e+00  2.369462199303019e+00       86
 1.173346534653465e+02 -3.662231594328019e+00 -1.634226936953449e-01 -7.193577166301589e+00 -6.080844266996204e+00  2.319502273270651e+00       87
 1.186990099009901e+02 -3.836107185320655e+00 -1.631509776575112e-01 -7.449120398656945e+00 -6.209367907741173e+00  2.269345536400141e+00       88
 1.200633663366337e+02 -4.015997543047629e+00 -1.624020612053191e-01 -7.714678297187064e+00 -6.326893279775950e+00  2.218392737861115e+00       89
 1.214277227722772e+02 -4.202409753063452e+00 -1.611373315669652e-01 -7.990526498138675e+00 -6.439276303092626e+00  2.167023238364212e+00       90
 1.227920792079208e+02 -4.395314184843659e+00 -1.592156864258015e-01 -8.267136725595108e+00 -6.531943285012055e+00  2.114222963684480e+00       91
 1.241564356435643e+02 -4.594767591181228e+00 -1.565172290676007e-01 -8.555528989858217e+00 -6.599412761929883e+00  2.059414605509505e+00       92
 1.255207920792079e+02 -4.801258958820914e+00 -1.529300340175908e-01 -8.852450200024528e+00 -6.657306896334501e+00  2.002935396276254e+00       93
 1.268851485148515e+02 -5.014690373725269e+00 -1.482998973333532e-01 -9.151048202210891e+00 -6.685449133940920e+00  1.942560803008988e+00       94
 1.282495049504951e+02 -5.235227313681332e+00 -1.425222932737924e-01 -9.463717678390076e+00 -6.668093549922177e+00  1.879521120334192e+00       95
 1.296138613861386e+02 -5.463353561338003e+00 -1.352852463446621e-01 -9.787613201059470e+00 -6.610322753627465e+00  1.811873708911090e+00       96
 1.309782178217821e+02 -5.699098840621335e+00 -1.253771774433501e-01 -1.013127529721030e+01 -6.531193086718843e+00  1.725570991213757e+00       97
 1.323425742574257e+02 -5.943345337127207e+00 -1.116909273008533e-01 -1.048652986702875e+01 -6.399399825052734e+00  1.608136923017485e+00       98
